numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion
11;user_ids;doble;10000;0.000580549
12;user_ids;doble;10000;0.000580658
13;user_ids;doble;10000;0.00058237
14;user_ids;doble;10000;0.000727956
15;user_ids;doble;10000;0.000683187
16;user_ids;doble;10000;0.000604491
17;user_ids;doble;10000;0.000671688
18;user_ids;doble;10000;0.000640618
19;user_ids;doble;10000;0.00058459
20;user_ids;doble;10000;0.000764431
1;user_screen_names;doble;10000;0.000947079
2;user_screen_names;doble;10000;0.000857024
3;user_screen_names;doble;10000;0.000945089
4;user_screen_names;doble;10000;0.00112281
5;user_screen_names;doble;10000;0.000861037
6;user_screen_names;doble;10000;0.000859483
7;user_screen_names;doble;10000;0.000902152
8;user_screen_names;doble;10000;0.000873989
9;user_screen_names;doble;10000;0.00104757
10;user_screen_names;doble;10000;0.000877647
11;user_screen_names;doble;10000;0.00118269
12;user_screen_names;doble;10000;0.0010175
13;user_screen_names;doble;10000;0.000883436
14;user_screen_names;doble;10000;0.0010067
15;user_screen_names;doble;10000;0.000860342
16;user_screen_names;doble;10000;0.00107237
17;user_screen_names;doble;10000;0.00106187
18;user_screen_names;doble;10000;0.000859684
19;user_screen_names;doble;10000;0.000892264
20;user_screen_names;doble;10000;0.000957453
1;user_ids;unordered_map;10000;0.000534893
2;user_ids;unordered_map;10000;0.000534974
3;user_ids;unordered_map;10000;0.000583713
4;user_ids;unordered_map;10000;0.00053853
5;user_ids;unordered_map;10000;0.000599499
6;user_ids;unordered_map;10000;0.00073089
7;user_ids;unordered_map;10000;0.000774572
8;user_ids;unordered_map;10000;0.000651417
9;user_ids;unordered_map;10000;0.000682021
10;user_ids;unordered_map;10000;0.000650318
11;user_ids;unordered_map;10000;0.000553136
12;user_ids;unordered_map;10000;0.000745436
13;user_ids;unordered_map;10000;0.000564773
14;user_ids;unordered_map;10000;0.00064962
15;user_ids;unordered_map;10000;0.000614121
16;user_ids;unordered_map;10000;0.000677183
17;user_ids;unordered_map;10000;0.000771382
18;user_ids;unordered_map;10000;0.000589642
19;user_ids;unordered_map;10000;0.000656037
20;user_ids;unordered_map;10000;0.000648663
1;user_screen_names;unordered_map;10000;0.000512506
2;user_screen_names;unordered_map;10000;0.00049781
3;user_screen_names;unordered_map;10000;0.000471329
